timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731096533135,24169,CARGA-0,301,Moved Permanently,Thread Group 1-97,text,true,,978,185,41,80,http://reqres.in/api/users?page=2,24169,0,24107
1731096557304,3156,CARGA-1,200,OK,Thread Group 1-97,text,true,,2181,185,41,80,https://reqres.in/api/users?page=2,3156,0,3097
1731096498134,63100,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-62,text,false,,2660,0,40,77,http://reqres.in/api/users?page=2,0,0,63100
1731096499134,63109,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-63,text,false,,2660,0,39,72,http://reqres.in/api/users?page=2,0,0,63109
1731096500135,63098,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-64,text,false,,2660,0,38,67,http://reqres.in/api/users?page=2,0,0,63098
1731096497134,66272,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-61,text,false,,4264,185,37,66,https://reqres.in/api/users?page=2,3150,0,3070
1731096497134,3150,CARGA-0,301,Moved Permanently,Thread Group 1-61,text,true,,972,185,37,66,http://reqres.in/api/users?page=2,3150,0,3070
1731096500284,63122,CARGA-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-61,text,false,,3292,0,37,66,https://reqres.in/api/users?page=2,0,0,63122
1731096501135,63239,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-65,text,false,,4266,185,36,62,https://reqres.in/api/users?page=2,135,0,52
1731096501135,135,CARGA-0,301,Moved Permanently,Thread Group 1-65,text,true,,974,185,36,62,http://reqres.in/api/users?page=2,135,0,52
1731096501270,63104,CARGA-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-65,text,false,,3292,0,36,62,https://reqres.in/api/users?page=2,0,0,63104
1731096502135,63110,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-66,text,false,,2660,0,35,61,http://reqres.in/api/users?page=2,0,0,63110
1731096487134,78266,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-51,text,false,,4262,185,34,59,https://reqres.in/api/users?page=2,15148,0,15091
1731096487134,15148,CARGA-0,301,Moved Permanently,Thread Group 1-51,text,true,,970,185,34,59,http://reqres.in/api/users?page=2,15148,0,15091
1731096502282,63118,CARGA-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-51,text,false,,3292,0,34,59,https://reqres.in/api/users?page=2,0,0,63118
1731096503134,63093,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-67,text,false,,2660,0,33,52,http://reqres.in/api/users?page=2,0,0,63093
1731096460135,106341,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-24,text,false,,4260,185,32,51,https://reqres.in/api/users?page=2,43212,0,43139
1731096460135,43212,CARGA-0,301,Moved Permanently,Thread Group 1-24,text,true,,968,185,32,51,http://reqres.in/api/users?page=2,43212,0,43139
1731096503347,63129,CARGA-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:443 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-24,text,false,,3292,0,32,51,https://reqres.in/api/users?page=2,0,0,63129
1731096504134,63092,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-68,text,false,,2660,0,31,48,http://reqres.in/api/users?page=2,0,0,63092
1731096525135,42359,CARGA,200,OK,Thread Group 1-89,text,true,,3145,370,30,44,https://reqres.in/api/users?page=2,97,0,39
1731096525135,97,CARGA-0,301,Moved Permanently,Thread Group 1-89,text,true,,972,185,30,44,http://reqres.in/api/users?page=2,97,0,39
1731096525232,42262,CARGA-1,200,OK,Thread Group 1-89,text,true,,2173,185,30,44,https://reqres.in/api/users?page=2,42262,0,42185
1731096509135,58359,CARGA,200,OK,Thread Group 1-73,text,true,,3151,370,30,44,https://reqres.in/api/users?page=2,43188,0,43131
1731096509135,43188,CARGA-0,301,Moved Permanently,Thread Group 1-73,text,true,,970,185,30,44,http://reqres.in/api/users?page=2,43188,0,43131
1731096552323,15171,CARGA-1,200,OK,Thread Group 1-73,text,true,,2181,185,30,44,https://reqres.in/api/users?page=2,15171,0,15114
1731096505134,63136,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-69,text,false,,2660,0,28,40,http://reqres.in/api/users?page=2,0,0,63136
1731096532134,36315,CARGA,200,OK,Thread Group 1-96,text,true,,3147,370,27,39,https://reqres.in/api/users?page=2,36163,0,36114
1731096532134,36163,CARGA-0,301,Moved Permanently,Thread Group 1-96,text,true,,966,185,27,39,http://reqres.in/api/users?page=2,36163,0,36114
1731096568297,152,CARGA-1,200,OK,Thread Group 1-96,text,true,,2181,185,27,39,https://reqres.in/api/users?page=2,152,0,94
1731096523143,45312,CARGA,200,OK,Thread Group 1-87,text,true,,3152,370,26,38,https://reqres.in/api/users?page=2,45169,0,45120
1731096523143,45169,CARGA-0,301,Moved Permanently,Thread Group 1-87,text,true,,970,185,26,38,http://reqres.in/api/users?page=2,45169,0,45120
1731096568312,143,CARGA-1,200,OK,Thread Group 1-87,text,true,,2182,185,26,38,https://reqres.in/api/users?page=2,143,0,86
1731096524135,44380,CARGA,200,OK,Thread Group 1-88,text,true,,3143,370,25,36,https://reqres.in/api/users?page=2,43176,0,43114
1731096524135,43176,CARGA-0,301,Moved Permanently,Thread Group 1-88,text,true,,970,185,25,36,http://reqres.in/api/users?page=2,43176,0,43114
1731096567312,1203,CARGA-1,200,OK,Thread Group 1-88,text,true,,2173,185,25,36,https://reqres.in/api/users?page=2,1203,0,1115
1731096506144,63128,CARGA,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to reqres.in:80 [reqres.in/104.26.10.213, reqres.in/172.67.73.173, reqres.in/104.26.11.213] failed: Connection timed out: connect",Thread Group 1-70,text,false,,2660,0,24,33,http://reqres.in/api/users?page=2,0,0,63128
1731096527134,42347,CARGA,200,OK,Thread Group 1-91,text,true,,3145,370,23,32,https://reqres.in/api/users?page=2,42180,0,42128
1731096527134,42180,CARGA-0,301,Moved Permanently,Thread Group 1-91,text,true,,972,185,23,32,http://reqres.in/api/users?page=2,42180,0,42128
